tema,limiar,precisao,revocacao,f1,f1_lim050,suporte_teste
Homenagens e Datas Comemorativas,0.7000000000000001,0.9078947368421053,0.8922413793103449,0.9,0.8962655601659751,232
Educação,0.6000000000000001,0.898876404494382,0.7843137254901961,0.837696335078534,0.8374384236453202,306
"Viação, Transporte e Mobilidade",0.6000000000000001,0.8285714285714286,0.7837837837837838,0.8055555555555556,0.8087912087912088,222
Direito Penal e Processual Penal,0.5,0.7636761487964989,0.8135198135198135,0.7878103837471784,0.7878103837471784,429
Saúde,0.55,0.7864077669902912,0.7472324723247232,0.7663197729422895,0.7771836007130125,542
"Energia, Recursos Hídricos e Minerais",0.55,0.7303370786516854,0.7386363636363636,0.7344632768361582,0.717391304347826,88
"Política, Partidos e Eleições",0.6000000000000001,0.9230769230769231,0.6,0.7272727272727273,0.704225352112676,40
Trabalho e Emprego,0.6000000000000001,0.7685459940652819,0.6888297872340425,0.726507713884993,0.7031630170316302,376
Direitos Humanos e Minorias,0.5,0.7412823397075365,0.7086021505376344,0.7245739417262232,0.7245739417262232,930
Esporte e Lazer,0.6500000000000001,0.7755102040816326,0.6666666666666666,0.7169811320754716,0.6719367588932806,114
Meio Ambiente e Desenvolvimento Sustentável,0.6000000000000001,0.7245283018867924,0.7007299270072993,0.712430426716141,0.6840390879478827,274
Direito e Defesa do Consumidor,0.6000000000000001,0.6635071090047393,0.7253886010362695,0.693069306930693,0.648068669527897,193
Comunicações,0.6000000000000001,0.653179190751445,0.7337662337662337,0.691131498470948,0.6557377049180327,154
Turismo,0.7500000000000001,0.8181818181818182,0.5869565217391305,0.6835443037974683,0.5405405405405406,46
Processo Legislativo e Atuação Parlamentar,0.45,0.5625,0.8181818181818182,0.6666666666666666,0.6666666666666666,11
Finanças Públicas e Orçamento,0.6000000000000001,0.6551724137931034,0.6298342541436464,0.6422535211267606,0.6227544910179641,362
Previdência e Assistência Social,0.6500000000000001,0.6911764705882353,0.573170731707317,0.6266666666666667,0.5806451612903226,164
Direito Civil e Processual Civil,0.6500000000000001,0.7058823529411765,0.5567010309278351,0.622478386167147,0.5842696629213483,194
Defesa e Segurança,0.55,0.5665236051502146,0.6666666666666666,0.6125290023201856,0.6135629709364908,396
"Arte, Cultura e Religião",0.7000000000000001,0.5602409638554217,0.6241610738255033,0.5904761904761905,0.5647668393782384,149
Administração Pública,0.55,0.5583333333333333,0.6104783599088838,0.5832426550598476,0.5741811175337187,439
"Agricultura, Pecuária, Pesca e Extrativismo",0.7000000000000001,0.5871559633027523,0.5517241379310345,0.5688888888888889,0.5227963525835866,116
"Ciência, Tecnologia e Inovação",0.6000000000000001,0.48412698412698413,0.5922330097087378,0.5327510917030568,0.5399239543726235,103
"Indústria, Comércio e Serviços",0.7000000000000001,0.6227272727272727,0.46440677966101696,0.5320388349514563,0.5135483870967742,295
Estrutura Fundiária,0.8500000000000001,0.5925925925925926,0.43243243243243246,0.5,0.5,37
Relações Internacionais e Comércio Exterior,0.55,0.43902439024390244,0.5,0.4675324675324675,0.4418604651162791,36
Economia,0.6500000000000001,0.4725274725274725,0.455026455026455,0.4636118598382749,0.47173489278752434,189
Cidades e Desenvolvimento Urbano,0.7000000000000001,0.46258503401360546,0.43870967741935485,0.4503311258278146,0.4344086021505376,155
Direito e Justiça,0.7500000000000001,0.3,0.15306122448979592,0.20270270270270271,0.24464831804281345,98
Direito Constitucional,0.45,0.08,0.15384615384615385,0.10526315789473684,0.1111111111111111,13
Ciências Exatas e da Terra,0.3,0.0,0.0,0.0,0.0,1
Ciências Sociais e Humanas,0.25,0.0,0.0,0.0,0.0,2
