tema,limiar,precisao,revocacao,f1,suporte_teste
Homenagens e Datas Comemorativas,0.5,0.9121338912133892,0.9396551724137931,0.9256900212314225,232
Educação,0.45,0.8835616438356164,0.8431372549019608,0.862876254180602,306
Esporte e Lazer,0.5,0.92,0.8070175438596491,0.8598130841121495,114
"Viação, Transporte e Mobilidade",0.35000000000000003,0.8032128514056225,0.9009009009009009,0.8492569002123143,222
Saúde,0.55,0.8809034907597536,0.7915129151291513,0.8338192419825073,542
Direito Penal e Processual Penal,0.35000000000000003,0.8349282296650717,0.8135198135198135,0.8240850059031877,429
Meio Ambiente e Desenvolvimento Sustentável,0.55,0.8222222222222222,0.8102189781021898,0.8161764705882353,274
"Política, Partidos e Eleições",0.15000000000000002,0.7674418604651163,0.825,0.7951807228915663,40
"Arte, Cultura e Religião",0.3,0.7727272727272727,0.7986577181208053,0.7854785478547854,149
"Energia, Recursos Hídricos e Minerais",0.25,0.7473684210526316,0.8068181818181818,0.7759562841530054,88
Trabalho e Emprego,0.3,0.7361809045226131,0.7792553191489362,0.7571059431524548,376
Direitos Humanos e Minorias,0.3,0.7271825396825397,0.7881720430107527,0.7564499484004128,930
Direito e Defesa do Consumidor,0.3,0.680952380952381,0.7409326424870466,0.7096774193548387,193
Comunicações,0.45,0.7051282051282052,0.7142857142857143,0.7096774193548387,154
Turismo,0.4,0.8484848484848485,0.6086956521739131,0.7088607594936709,46
Previdência e Assistência Social,0.35000000000000003,0.7088607594936709,0.6829268292682927,0.6956521739130435,164
Direito Civil e Processual Civil,0.4,0.7111111111111111,0.6597938144329897,0.6844919786096256,194
Finanças Públicas e Orçamento,0.45,0.7107692307692308,0.638121546961326,0.6724890829694323,362
Defesa e Segurança,0.45,0.6931818181818182,0.6161616161616161,0.6524064171122995,396
"Agricultura, Pecuária, Pesca e Extrativismo",0.55,0.7386363636363636,0.5603448275862069,0.6372549019607843,116
Estrutura Fundiária,0.45,0.6666666666666666,0.5945945945945946,0.6285714285714286,37
Administração Pública,0.5,0.6476683937823834,0.5694760820045558,0.6060606060606061,439
"Indústria, Comércio e Serviços",0.25,0.5406162464985994,0.6542372881355932,0.5920245398773006,295
"Ciência, Tecnologia e Inovação",0.25,0.5038167938931297,0.6407766990291263,0.5641025641025641,103
Processo Legislativo e Atuação Parlamentar,0.1,0.7142857142857143,0.45454545454545453,0.5555555555555556,11
Economia,0.15000000000000002,0.44405594405594406,0.671957671957672,0.5347368421052632,189
Cidades e Desenvolvimento Urbano,0.3,0.4742857142857143,0.535483870967742,0.503030303030303,155
Relações Internacionais e Comércio Exterior,0.3,0.5151515151515151,0.4722222222222222,0.4927536231884058,36
Direito e Justiça,0.2,0.38202247191011235,0.3469387755102041,0.36363636363636365,98
Direito Constitucional,0.05,0.047619047619047616,0.07692307692307693,0.058823529411764705,13
Ciências Exatas e da Terra,0.5,0.0,0.0,0.0,1
Ciências Sociais e Humanas,0.5,0.0,0.0,0.0,2
